Comment,Designator,Footprint,LCSC
"10nF","C2,C1","Capacitor_SMD:C_0402_1005Metric","C15195"
"4.7uF","C6,C4","Capacitor_SMD:C_0603_1608Metric","C19666"
"100nF","C8,C7,C9,C10,C5,C3","Capacitor_SMD:C_0402_1005Metric","C1525"
"USB_B","J1","Connector_USB:USB_B_OST_USB-B1HSxx_Horizontal"
"Conn_02x20_Odd_Even","J2","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical"
"Ferrite Bead","L1","Inductor_SMD:L_0805_2012Metric","C1015"
"AO3401A","Q2,Q1","Package_TO_SOT_SMD:SOT-23","C15127"
"AO3400A","Q3","Package_TO_SOT_SMD:SOT-23","C20917"
"S8050","Q4","Package_TO_SOT_SMD:SOT-23","C2146"
"1M","R1","Resistor_SMD:R_0402_1005Metric","C26083"
"1K","R7,R6,R2","Resistor_SMD:R_0402_1005Metric","C11702"
"10K","R8,R4,R5,R3","Resistor_SMD:R_0402_1005Metric","C25744"
"CP2102N","U1","Package_DFN_QFN:SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm","C89049"
"SRV05-4","U2","Package_TO_SOT_SMD:SOT-23-6","C85364"